Survived,Pclass,Sex,Age,Fare,Embarked,Title,Age*Class
0,3,0,1,14.5,0,1,3
0,3,0,2,7.125,0,1,6
1,3,0,0,7.2292,1,1,0
1,1,1,1,120.0,0,3,1
0,3,0,0,7.775,0,1,0
1,1,1,2,77.9583,0,3,2
0,1,0,2,39.6,1,5,2
0,3,1,1,7.75,2,2,3
0,3,0,1,24.15,2,1,3
0,3,0,1,8.3625,0,1,3
0,3,0,1,9.5,0,1,3
0,3,0,2,7.8542,0,1,6
0,2,1,2,10.5,0,3,4
0,3,0,1,7.225,1,1,3
1,2,1,2,23.0,0,3,4
0,3,0,0,7.75,0,1,0
0,3,0,1,7.75,2,1,3
1,3,1,0,12.475,0,2,0
0,3,0,1,7.7375,2,1,3
1,1,1,2,211.3375,0,3,2
1,3,1,0,7.2292,1,2,0
1,1,1,0,57.0,0,3,0
0,1,0,1,30.0,0,1,1
0,3,0,1,23.45,0,1,3
0,3,0,1,7.05,0,1,3
0,3,0,1,7.25,0,1,3
1,3,1,0,7.4958,0,2,0
0,3,0,0,29.125,2,4,0
1,3,0,0,20.575,0,4,0
0,1,0,2,79.2,1,1,2
0,3,0,1,7.75,2,1,3
0,2,0,0,26.0,0,1,0
0,3,1,1,69.55,0,2,3
0,1,0,2,30.6958,1,1,2
0,3,0,1,7.8958,0,1,3
0,2,0,1,13.0,0,1,2
1,1,1,2,25.9292,0,5,2
1,3,1,1,8.6833,0,3,3
0,3,0,1,7.2292,1,1,3
0,3,1,1,24.15,0,3,3
0,2,0,1,13.0,0,1,2
1,2,1,1,26.25,0,3,2
1,1,0,0,120.0,0,4,0
1,3,0,0,8.5167,1,4,0
1,3,0,1,6.975,0,1,3
0,3,0,1,7.775,0,1,3
0,1,0,1,0.0,0,1,1
0,3,1,0,7.775,0,2,0
0,2,0,1,13.0,0,1,2
1,1,1,1,53.1,0,3,1
0,3,0,1,7.8875,0,1,3
0,3,0,1,24.15,0,1,3
0,2,0,1,10.5,0,1,2
0,3,1,0,31.275,0,2,0
0,3,0,1,8.05,0,1,3
0,1,0,2,0.0,0,1,2
0,3,1,1,7.925,0,2,3
0,2,0,1,37.0042,1,1,2
0,3,0,2,6.45,0,1,6
0,3,0,0,27.9,0,4,0
1,1,1,2,93.5,0,3,2
1,3,0,1,8.6625,0,1,3
0,1,0,1,0.0,0,5,1
1,3,1,1,12.475,0,3,3
0,3,0,0,39.6875,0,4,0
0,3,0,1,6.95,2,1,3
0,3,0,1,56.4958,0,1,3
1,2,0,0,37.0042,1,4,0
1,3,0,1,7.75,2,1,3
1,1,1,3,80.0,0,3,3
1,3,1,0,14.4542,1,3,0
1,2,0,0,18.75,0,4,0
0,3,0,1,7.2292,1,1,3
0,3,0,1,7.8542,0,1,3
0,3,0,0,8.3,0,1,0
1,1,1,1,83.1583,1,2,1
0,3,0,1,8.6625,0,1,3
0,3,0,1,8.05,0,1,3
1,3,0,1,56.4958,0,1,3
1,1,0,2,29.7,1,1,2
0,3,0,0,7.925,0,1,0
0,2,0,0,10.5,0,1,0
1,1,1,1,31.0,1,2,1
0,3,0,1,6.4375,1,1,3
0,3,0,0,8.6625,0,1,0
0,3,0,2,7.55,0,1,6
0,3,0,1,69.55,0,1,3
0,3,0,1,7.8958,1,1,3
0,2,0,1,33.0,0,5,2
1,1,1,1,89.1042,1,3,1
0,3,0,0,31.275,0,4,0
0,3,0,3,7.775,0,1,9
0,3,1,0,15.2458,1,2,0
1,1,1,0,39.4,0,2,0
0,2,1,2,26.0,0,3,4
1,3,1,0,9.35,0,3,0
1,1,1,2,164.8667,0,3,2
1,1,0,2,26.55,0,1,2
1,3,1,1,19.2583,1,3,3
0,3,0,1,7.2292,1,1,3
0,3,0,2,14.1083,0,1,6
0,2,0,1,11.5,0,1,2
1,1,1,2,25.9292,0,3,2
0,3,1,1,69.55,0,2,3
0,2,0,1,13.0,0,1,2
1,2,1,2,13.0,0,3,4
1,2,1,1,13.8583,1,2,2
0,1,0,1,50.4958,0,1,1
0,3,0,1,9.5,0,1,3
1,3,0,0,11.1333,0,4,0
0,3,0,1,7.8958,0,1,3
1,1,1,2,52.5542,0,3,2
0,1,0,1,5.0,0,1,1
0,3,0,2,9.0,0,1,6
1,2,1,1,24.0,1,3,2
1,3,1,0,7.225,1,2,0
0,3,0,0,9.8458,0,1,0
0,3,0,0,7.8958,0,1,0
0,3,0,1,7.8958,0,1,3
1,1,1,2,83.1583,1,3,2
1,2,1,1,26.0,0,3,2
0,3,0,1,7.8958,0,1,3
0,3,1,1,10.5167,0,2,3
0,2,0,1,10.5,0,1,2
0,3,0,1,7.05,0,1,3
0,3,1,1,29.125,2,3,3
0,2,0,1,13.0,0,5,2
1,1,1,0,30.0,0,2,0
0,3,1,1,23.45,0,2,3
1,1,0,1,30.0,1,1,1
0,3,0,1,7.75,2,1,3
